                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1631,                0.85389,                0.99452,                0.48948,                0.46884,                0.43545,                0.14982,                 2.1642,                  1.761,                 1.3086,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.1799,                0.86345,                0.98938,                0.48434,                0.45399,                0.42599,                0.13931,                 2.2323,                 1.7361,                 1.3479,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.1582,                 0.8473,                0.98596,                0.50614,                0.49574,                 0.4645,                0.17324,                 2.0847,                 1.7464,                 1.2774,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.1212,                0.81551,                0.97441,                0.56331,                0.50901,                0.49709,                0.18077,                 2.1677,                  1.911,                 1.2983,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.1712,                0.86026,                0.98832,                0.51815,                0.49263,                0.48706,                  0.174,                 2.1298,                 1.7397,                 1.2893,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.2011,                0.85587,                0.99333,                0.54505,                0.47139,                0.46631,                0.16724,                 2.2598,                 1.6921,                 1.3741,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.1245,                0.80994,                0.96851,                0.57096,                0.46871,                0.47054,                0.17011,                 2.1488,                 1.6943,                 1.3252,             0.00036797,             0.00036797,             0.00036797
                     78,                  1.128,                0.80109,                0.98594,                0.42275,                0.47792,                0.40905,                0.14008,                 2.1942,                 1.7172,                 1.3562,             0.00035382,             0.00035382,             0.00035382
                     79,                  1.161,                0.81633,                0.97686,                0.48405,                0.51021,                0.45501,                0.17189,                 2.1324,                 1.5943,                 1.3074,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.1311,                0.80471,                0.97123,                 0.4653,                0.46295,                0.41839,                0.15169,                 2.2529,                 1.6811,                 1.3732,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.0837,                0.78884,                0.97231,                0.49243,                0.43512,                 0.4245,                0.15807,                 2.1775,                 1.7233,                 1.3211,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.1321,                 0.7897,                0.96185,                0.49919,                0.47577,                0.44932,                0.16804,                 2.0842,                 1.7514,                 1.2613,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.1251,                0.80595,                0.97801,                0.48964,                0.47997,                0.44325,                0.15578,                 2.1846,                 1.7416,                 1.3272,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.1039,                0.77291,                0.97024,                0.46959,                0.53044,                0.46271,                0.16965,                 2.1246,                 1.6904,                 1.2959,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.1481,                0.81065,                0.98332,                0.47572,                0.52468,                0.46245,                0.16589,                 2.1683,                 1.6686,                 1.3194,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.1208,                0.81718,                0.97924,                0.51157,                0.51661,                0.49454,                0.19051,                 2.0596,                 1.6307,                 1.2655,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.0852,                0.76651,                0.95475,                0.48429,                0.51924,                0.46509,                0.16463,                 2.1365,                 1.7254,                 1.3071,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.2062,                0.84268,                0.99584,                 0.4738,                0.49915,                0.46306,                0.16308,                 2.1677,                 1.7209,                 1.3226,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0923,                0.77299,                0.95999,                0.45301,                0.45908,                0.41338,                0.15135,                 2.1714,                 1.7355,                 1.3198,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.1212,                0.79358,                0.97137,                0.51526,                0.49246,                0.47676,                0.18126,                 2.1389,                 1.6096,                  1.306,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.0911,                0.81213,                0.97838,                0.50122,                0.48142,                0.46002,                0.16995,                 2.2194,                 1.6494,                 1.3468,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.0874,                0.77245,                0.98633,                0.46371,                0.53183,                0.46534,                 0.1788,                 2.1967,                 1.6781,                 1.3422,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.0666,                0.76047,                0.97134,                0.48501,                0.53457,                0.47687,                0.18987,                 2.1312,                 1.6644,                 1.2957,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.0836,                0.73772,                0.96959,                0.57048,                0.46471,                0.48163,                0.19396,                 2.1561,                 1.6602,                 1.2916,             0.00012747,             0.00012747,             0.00012747
                     95,                  1.067,                0.74651,                0.97344,                0.50445,                0.51003,                0.48221,                0.18533,                  2.183,                 1.6547,                 1.3255,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.0595,                0.74859,                0.96614,                0.52305,                0.50028,                0.48596,                0.18869,                 2.1289,                 1.6682,                 1.3017,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.0792,                0.75968,                0.97315,                0.52408,                 0.5008,                0.48268,                0.17795,                 2.1436,                 1.6774,                 1.3098,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.0229,                0.73351,                0.96656,                0.52213,                0.50402,                0.48617,                 0.1775,                 2.1433,                 1.6589,                 1.3093,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.0566,                0.72948,                0.96314,                0.54006,                0.47954,                0.48155,                0.17145,                 2.1708,                  1.644,                 1.3226,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.0476,                0.74663,                0.97109,                0.49696,                0.50925,                0.48395,                0.17262,                 2.1777,                 1.6389,                 1.3289,             4.2584e-05,             4.2584e-05,             4.2584e-05
